gene_name,family,biocide,logFC
adeA,adeABC,AgNO3,0
adeA,adeABC,BZK,-3.280394478
adeA,adeABC,CTAB,-0.137016079
adeA,adeABC,CHL,-6.30206488
adeA,adeABC,TRC,0.015801163
adeA,adeABC,CRL,0.091375242
adeA,adeABC,PVPi,-0.003796745
adeA,adeABC,HClO,0.100545569
adeA,adeABC,GLU,-0.008003021
adeA,adeABC,EtOH,0.121986377
adeB,adeABC,AgNO3,0
adeB,adeABC,BZK,-6.850787779
adeB,adeABC,CTAB,-1.15702331
adeB,adeABC,CHL,-6.423967217
adeB,adeABC,TRC,-2.988642825
adeB,adeABC,CRL,-1.01654119
adeB,adeABC,PVPi,-0.024674203
adeB,adeABC,HClO,-0.120996216
adeB,adeABC,GLU,-0.017687471
adeB,adeABC,EtOH,0.267834979
adeC,adeABC,AgNO3,0
adeC,adeABC,BZK,-1.316143457
adeC,adeABC,CTAB,-0.083678762
adeC,adeABC,CHL,-3.480809355
adeC,adeABC,TRC,-0.243870129
adeC,adeABC,CRL,-0.056909703
adeC,adeABC,PVPi,-0.116848305
adeC,adeABC,HClO,0.034602697
adeC,adeABC,GLU,-0.146575602
adeC,adeABC,EtOH,0.071627474
adeK,adeIJK,AgNO3,-0.80572919
adeK,adeIJK,BZK,-4.056168543
adeK,adeIJK,CTAB,-0.039555535
adeK,adeIJK,CHL,-6.323323109
adeK,adeIJK,TRC,-4.770244473
adeK,adeIJK,CRL,-3.319009781
adeK,adeIJK,PVPi,0.024692354
adeK,adeIJK,HClO,-0.111545468
adeK,adeIJK,GLU,-0.085882558
adeK,adeIJK,EtOH,0.156149894
adeJ,adeIJK,AgNO3,-0.410025075
adeJ,adeIJK,BZK,-1.199552047
adeJ,adeIJK,CTAB,-0.002030622
adeJ,adeIJK,CHL,-4.155561403
adeJ,adeIJK,TRC,-2.143690635
adeJ,adeIJK,CRL,-2.550149004
adeJ,adeIJK,PVPi,0.027665793
adeJ,adeIJK,HClO,-0.117008478
adeJ,adeIJK,GLU,-0.052492445
adeJ,adeIJK,EtOH,0.080001816
adeI,adeIJK,AgNO3,-0.372717205
adeI,adeIJK,BZK,-0.904585094
adeI,adeIJK,CTAB,0.007704364
adeI,adeIJK,CHL,-2.296478924
adeI,adeIJK,TRC,-1.407896688
adeI,adeIJK,CRL,-1.949159368
adeI,adeIJK,PVPi,0.073773072
adeI,adeIJK,HClO,-0.267090629
adeI,adeIJK,GLU,-0.089100232
adeI,adeIJK,EtOH,0.037925758
yadH,yad,AgNO3,-1.136909097
yadH,yad,BZK,0.00867663
yadH,yad,CTAB,-0.065609489
yadH,yad,CHL,-2.387376917
yadH,yad,TRC,0.285093518
yadH,yad,CRL,0.196427575
yadH,yad,PVPi,-0.083122135
yadH,yad,HClO,-0.102231492
yadH,yad,GLU,-0.099689661
yadH,yad,EtOH,-0.13669068
yadG,yad,AgNO3,-1.37576435
yadG,yad,BZK,0.063636996
yadG,yad,CTAB,-0.016503288
yadG,yad,CHL,0.651335455
yadG,yad,TRC,0.227751718
yadG,yad,CRL,0.158000766
yadG,yad,PVPi,0.044505818
yadG,yad,HClO,-0.050026801
yadG,yad,GLU,-0.032507524
yadG,yad,EtOH,0.061062083
znuA,znu,AgNO3,1.159573478
znuA,znu,BZK,-0.658262533
znuA,znu,CTAB,0.100467397
znuA,znu,CHL,1.472732199
znuA,znu,TRC,-0.876461185
znuA,znu,CRL,-0.595744642
znuA,znu,PVPi,-0.31185164
znuA,znu,HClO,-0.088883165
znuA,znu,GLU,-0.362579395
znuA,znu,EtOH,-0.370294067
zur,znu,AgNO3,1.458700212
zur,znu,BZK,-0.812143205
zur,znu,CTAB,0.255194368
zur,znu,CHL,1.636698949
zur,znu,TRC,-0.858879829
zur,znu,CRL,-0.426636851
zur,znu,PVPi,-0.244221695
zur,znu,HClO,0.095316519
zur,znu,GLU,-0.158491376
zur,znu,EtOH,-0.308166626
znuC,znu,AgNO3,1.371640856
znuC,znu,BZK,-0.686895277
znuC,znu,CTAB,0.247934464
znuC,znu,CHL,2.536752431
znuC,znu,TRC,-0.92913815
znuC,znu,CRL,-0.541912852
znuC,znu,PVPi,-0.305396527
znuC,znu,HClO,0.049507725
znuC,znu,GLU,-0.159202359
znuC,znu,EtOH,-0.172135882
znuB,znu,AgNO3,1.033745216
znuB,znu,BZK,-0.696704381
znuB,znu,CTAB,0.344882077
znuB,znu,CHL,2.028766457
znuB,znu,TRC,-0.860644591
znuB,znu,CRL,-0.427333589
znuB,znu,PVPi,-0.198146013
znuB,znu,HClO,0.208788728
znuB,znu,GLU,-0.128544969
znuB,znu,EtOH,-0.114114932
ttg2A,ttg2,AgNO3,0.535038062
ttg2A,ttg2,BZK,-0.876555453
ttg2A,ttg2,CTAB,1.182448568
ttg2A,ttg2,CHL,-0.550139736
ttg2A,ttg2,TRC,-1.28268854
ttg2A,ttg2,CRL,-1.059670682
ttg2A,ttg2,PVPi,0.237298709
ttg2A,ttg2,HClO,0.240096863
ttg2A,ttg2,GLU,0.347742753
ttg2A,ttg2,EtOH,0.052627642
ttg2B,ttg2,AgNO3,0.297448036
ttg2B,ttg2,BZK,-0.426619289
ttg2B,ttg2,CTAB,1.154521446
ttg2B,ttg2,CHL,-0.168985994
ttg2B,ttg2,TRC,-1.098217055
ttg2B,ttg2,CRL,-0.647734022
ttg2B,ttg2,PVPi,0.359806736
ttg2B,ttg2,HClO,0.643774039
ttg2B,ttg2,GLU,0.419884438
ttg2B,ttg2,EtOH,0.537591761
ttg2C,ttg2,AgNO3,0.541371561
ttg2C,ttg2,BZK,-0.936548625
ttg2C,ttg2,CTAB,1.24530229
ttg2C,ttg2,CHL,0.178066493
ttg2C,ttg2,TRC,-1.287070931
ttg2C,ttg2,CRL,-1.104039778
ttg2C,ttg2,PVPi,0.313119323
ttg2C,ttg2,HClO,0.200246212
ttg2C,ttg2,GLU,0.302483173
ttg2C,ttg2,EtOH,-0.005048585
