gene_name,family,AgNO3,BZK,CTAB,CHL,TRC,CRL,PVPi,HClO,GLU,EtOH
adeA,adeABC,0,-3.280394478,-0.137016079,-6.30206488,0.015801163,0.091375242,-0.003796745,0.100545569,-0.008003021,0.121986377
adeB,adeABC,0,-6.850787779,-1.15702331,-6.423967217,-2.988642825,-1.01654119,-0.024674203,-0.120996216,-0.017687471,0.267834979
adeC,adeABC,0,-1.316143457,-0.083678762,-3.480809355,-0.243870129,-0.056909703,-0.116848305,0.034602697,-0.146575602,0.071627474
adeK,adeIJK,-0.80572919,-4.056168543,-0.039555535,-6.323323109,-4.770244473,-3.319009781,0.024692354,-0.111545468,-0.085882558,0.156149894
adeJ,adeIJK,-0.410025075,-1.199552047,-0.002030622,-4.155561403,-2.143690635,-2.550149004,0.027665793,-0.117008478,-0.052492445,0.080001816
adeI,adeIJK,-0.372717205,-0.904585094,0.007704364,-2.296478924,-1.407896688,-1.949159368,0.073773072,-0.267090629,-0.089100232,0.037925758
yadH,yad,-1.136909097,0.00867663,-0.065609489,-2.387376917,0.285093518,0.196427575,-0.083122135,-0.102231492,-0.099689661,-0.13669068
yadG,yad,-1.37576435,0.063636996,-0.016503288,0.651335455,0.227751718,0.158000766,0.044505818,-0.050026801,-0.032507524,0.061062083
znuA,znu,1.159573478,-0.658262533,0.100467397,1.472732199,-0.876461185,-0.595744642,-0.31185164,-0.088883165,-0.362579395,-0.370294067
zur,znu,1.458700212,-0.812143205,0.255194368,1.636698949,-0.858879829,-0.426636851,-0.244221695,0.095316519,-0.158491376,-0.308166626
znuC,znu,1.371640856,-0.686895277,0.247934464,2.536752431,-0.92913815,-0.541912852,-0.305396527,0.049507725,-0.159202359,-0.172135882
znuB,znu,1.033745216,-0.696704381,0.344882077,2.028766457,-0.860644591,-0.427333589,-0.198146013,0.208788728,-0.128544969,-0.114114932
ttg2A,ttg2,0.535038062,-0.876555453,1.182448568,-0.550139736,-1.28268854,-1.059670682,0.237298709,0.240096863,0.347742753,0.052627642
ttg2B,ttg2,0.297448036,-0.426619289,1.154521446,-0.168985994,-1.098217055,-0.647734022,0.359806736,0.643774039,0.419884438,0.537591761
ttg2C,ttg2,0.541371561,-0.936548625,1.24530229,0.178066493,-1.287070931,-1.104039778,0.313119323,0.200246212,0.302483173,-0.005048585
